epoch,loss,acc
6,98.83562,62.59259
7,99.31507,62.59259
epoch,loss,acc
8,99.52055,63.51852
epoch,loss,acc
epoch,loss,acc
9,100.00000,65.98174
epoch,loss,acc
epoch,loss,acc
10,100.00000,82.34127
epoch,loss,acc
epoch,loss,acc
11,99.52055,58.51852
12,99.10959,58.51852
13,99.52055,61.66667
14,99.52055,61.11111
15,99.58904,61.29630
epoch,loss,acc
16,100.00000,67.80822
epoch,loss,acc
17,100.00000,82.34127
epoch,loss,acc
epoch,loss,acc
18,99.24699,61.48148
epoch,loss,acc
19,99.09639,61.29630
20,99.54819,61.29630
epoch,loss,acc
epoch,loss,acc
21,100.00000,68.49315
epoch,loss,acc
22,99.24699,61.66667
23,99.54819,61.66667
epoch,loss,acc
24,100.00000,68.83562
epoch,loss,acc
25,100.00000,85.31746
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
28,0.00000,80.26961
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
29,0.00000,94.44444
epoch,loss,acc
1,79.26621,59.07407
2,95.56314,59.07407
3,97.69625,59.07407
epoch,loss,acc
epoch,loss,acc
4,100.00000,41.89498
epoch,loss,acc
epoch,loss,acc
5,100.00000,59.25926
epoch,loss,acc
6,100.00000,36.30952
epoch,loss,acc
epoch,loss,acc
1,62.87879,17.50000
2,88.63636,18.75000
3,96.21212,17.77778
4,99.24242,18.75000
5,100.00000,18.75000
epoch,loss,acc
1,0.00000,10.95890
epoch,loss,acc
epoch,loss,acc
2,10.48387,10.00000
3,10.48387,10.00000
epoch,loss,acc
4,16.91176,10.00000
5,16.91176,10.00000
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
6,67.74194,19.02778
7,98.38710,19.58333
epoch,loss,acc
8,98.80952,21.25000
9,100.00000,21.25000
10,100.00000,21.25000
epoch,loss,acc
epoch,loss,acc
11,0.00000,40.86758
epoch,loss,acc
epoch,loss,acc
12,0.00000,18.45238
epoch,loss,acc
13,89.82697,84.81481
14,97.40453,87.03704
15,97.97136,84.25926
16,98.59785,80.00000
17,98.56802,82.59259
18,98.61774,87.22222
19,98.80668,89.44444
20,99.25418,88.33333
21,99.16468,90.55556
22,99.31384,90.74074
23,99.61217,89.81481
24,99.49284,87.59259
25,99.73150,88.33333
26,99.61217,89.07407
27,99.76134,89.25926
28,99.82100,90.18519
29,99.85084,90.00000
30,99.85084,89.81481
31,99.73150,89.62963
32,99.94033,89.62963
epoch,loss,acc
33,100.00000,66.43836
epoch,loss,acc
34,100.00000,87.30159
