epoch,loss,acc
1,66.13710,99.97296
2,98.89525,95.16617
epoch,loss,acc
1,0.00000,18.39002
2,0.00000,18.39002
epoch,loss,acc
epoch,loss,acc
3,0.00000,18.39002
epoch,loss,acc
4,68.38141,99.97296
5,96.46820,100.00000
epoch,loss,acc
6,0.00000,88.90023
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
7,0.00000,66.19613
epoch,loss,acc
epoch,loss,acc
8,0.00000,66.19613
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
9,0.00000,66.19613
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
10,0.00000,66.19613
