"File Path,Class"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-I8dtKUUSQY_000001_000011.mp4,2"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-AW4EnNuYNI_000002_000012.mp4,3"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-D_eNsRYLhs_000003_000013.mp4,2"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-KtT7Q730Yg_000008_000018.mp4,13"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-Kynokg-dX8_000043_000053.mp4,3"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-JdIM1KZ1zo_000032_000042.mp4,18"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-CPHycRUJfA_000022_000032.mp4,16"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-5kButbj9OE_000036_000046.mp4,6"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-FcDTJzptes_000000_000010.mp4,5"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-B228_dxIVc_000001_000011.mp4,2"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-H2vQ5BmZ-E_000001_000011.mp4,3"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-3SmhZu4ZWc_000095_000105.mp4,17"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-5FBGZLKJIk_000008_000018.mp4,5"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-9v7X2M3fdc_000004_000014.mp4,3"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-KSm0RzIF-Y_000030_000040.mp4,0"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-9L5fpps3-M_000053_000063.mp4,6"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-Fdh0lnvEk4_000014_000024.mp4,12"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-CuO1UBQVV4_000000_000010.mp4,3"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-5GOspMRYUQ_000012_000022.mp4,17"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-8ieGoxXh0A_000011_000021.mp4,14"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-KJQB9sHOao_000022_000032.mp4,5"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-60KGw7ow0k_000198_000208.mp4,9"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-6VzhYhWDMY_000005_000015.mp4,6"
"/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_0/-DGGte0Ht5s_000001_000011.mp4,20"
