File Path,Class
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0yEkDG49lLU_000000_000010.mp4,77
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0wQav6fkOtc_000001_000011.mp4,151
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0z5IBF2JqJ4_000016_000026.mp4,103
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0sCM2xB5PDc_000002_000012.mp4,103
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0sC7Ovz0h20_000021_000031.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0qoYYwZ2FMo_000009_000019.mp4,77
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0t1edpIaSaY_000056_000066.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0r1HFfPcVKI_000642_000652.mp4,272
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0t9tqROgqxk_000029_000039.mp4,77
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0sL5rRoMgLs_000015_000025.mp4,378
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0wJzFmLeGKI_000004_000014.mp4,275
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0mtHpbD2QNQ_000036_000046.mp4,77
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/1-ZAABV9MWE_000000_000010.mp4,77
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/1-YO_7yN9pQ_000045_000055.mp4,264
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0pi9VtlENWI_000061_000071.mp4,77
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0yYkqwp3Trw_000152_000162.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0zG5l_e5sKU_000050_000060.mp4,396
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0kOi2iCwNi8_000004_000014.mp4,264
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0lO0XSRNN6w_000006_000016.mp4,378
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/10YXKet26n8_000005_000015.mp4,270
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0mffd8TMtHg_000005_000015.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0ya8hWi4-1g_000050_000060.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0yy1Df51_QE_000061_000071.mp4,268
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0lup_JJgq0c_000023_000033.mp4,274
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0xjnItoMYgs_000184_000194.mp4,275
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0yAa3oIB0TI_000052_000062.mp4,268
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0lp9mBNDAQM_000002_000012.mp4,378
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0vlr-ETpKpI_000000_000010.mp4,77
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0z4gkd_KpI4_000224_000234.mp4,367
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0k9t_KPR2ro_000053_000063.mp4,264
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0nWUzA00pBo_000006_000016.mp4,367
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0q9UyoQvrkI_000232_000242.mp4,378
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/1-2wFrbuOuI_000039_000049.mp4,274
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0qm0fESZ15I_000001_000011.mp4,151
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0ySTqg5aFvw_000000_000010.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0z4nrR-Hs5o_000125_000135.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0tL7KrdYv4A_000007_000017.mp4,103
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0wPL02lkqWw_000002_000012.mp4,151
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0phpwk9Ztkk_000006_000016.mp4,103
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0qV2fTbgXAQ_000009_000019.mp4,265
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0ojl8BOp3DU_000020_000030.mp4,273
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0kPkpmLk8EM_000000_000010.mp4,151
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/10lpbBJKh0U_000070_000080.mp4,265
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0ov3PP_n2Vo_000085_000095.mp4,103
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0vlR8sTEsXE_000001_000011.mp4,367
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0kYIIDZ2Rls_000041_000051.mp4,274
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0qi5NdNS7RE_000045_000055.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/10e_zeGCh-c_000032_000042.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0roAwHJv1BI_000161_000171.mp4,396
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0yp3SgaSocU_000010_000020.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0tp3rRoYMEM_000047_000057.mp4,281
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0s2mNI32vEo_000023_000033.mp4,264
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0p82v6cSzOk_000004_000014.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0sDET375rhI_000007_000017.mp4,103
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0zz4NLgfYgA_001229_001239.mp4,396
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0t-YfvZNdks_000011_000021.mp4,268
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/1-ZBuCWeP2A_000034_000044.mp4,77
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0xHJzEftR5s_000018_000028.mp4,264
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0zlWNmcv96M_000003_000013.mp4,182
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/10fd-o-m8lg_000020_000030.mp4,264
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0x1l1uv8Xrw_000045_000055.mp4,378
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0oEt6N6POFI_000402_000412.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0ytiu05JJLs_000026_000036.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0tYkTCg2Amc_000068_000078.mp4,182
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0o8cWaxV78s_000026_000036.mp4,268
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0kFVVGx8MoE_000004_000014.mp4,281
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0vBcF691jaU_000220_000230.mp4,396
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0zioI99qYmo_000002_000012.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0snJBTZ8M6M_000003_000013.mp4,273
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0paGUniTKIo_000055_000065.mp4,268
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0yE0HsnCg5Y_000020_000030.mp4,77
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0pLgBUiCmmM_000189_000199.mp4,396
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0sjiHDzDwVs_000032_000042.mp4,274
