path,class
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/66AjriF2ef4_000044_000054.mp4,322
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/68_aOrDxktE_000040_000050.mp4,143
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/5zJtoUrvn4Y_000006_000016.mp4,240
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/5yeOvv86Xus_000006_000016.mp4,149
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/68GTPQFWCkM_000240_000250.mp4,46
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/60Cdnc37BqA_000065_000075.mp4,192
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/65kpBqP3_Sc_000097_000107.mp4,271
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/5wjFaTSe47M_000229_000239.mp4,44
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/66--JXmz4jU_000042_000052.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/65cg4EStpp0_000069_000079.mp4,340
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/60rccmj30iM_000077_000087.mp4,140
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/5wkaTrFRU2Q_000000_000010.mp4,288
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/65Z3lwVxNJE_000188_000198.mp4,249
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/5vdOZYcEA4M_000027_000037.mp4,159
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/5zOMBbJ3n5E_000021_000031.mp4,346
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/6BIabuXZA_0_000005_000015.mp4,188
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/5z7_jkfZuxU_000060_000070.mp4,106
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/5v7ZXLbGG6I_000477_000487.mp4,188
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/5yb81dN_1Ds_000019_000029.mp4,37
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/69-BMlRLXnE_000048_000058.mp4,87
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/6-R6TPTS6dg_000015_000025.mp4,340
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/5yhPAEqR4yU_000037_000047.mp4,215
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/65ic1nI-BCA_000154_000164.mp4,109
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/69Pdemm_f5k_000044_000054.mp4,282
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/6ATVqwnu68w_000007_000017.mp4,59
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/65O2GrpJ7oE_000000_000010.mp4,382
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/64qivwQ8EIQ_000023_000033.mp4,356
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/5vL5S9dmFIQ_000093_000103.mp4,132
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/63z_JMJxl7I_000335_000345.mp4,79
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/5z0TwfIxcTc_000131_000141.mp4,53
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/62bJb8sv_OQ_000101_000111.mp4,283
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_25/642dodqvBvY_000064_000074.mp4,249
