path,class
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/0BQUfrcZ0Y0_000020_000030.mp4,359
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/04FsA5meEIA_000412_000422.mp4,97
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/07whL_0ea3A_000118_000128.mp4,286
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/0BQk_d6Pjwg_000022_000032.mp4,254
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/0BF3GUiXZyk_000626_000636.mp4,280
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-wz60mQ3pe8_000000_000010.mp4,203
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-yBQLavOV9M_000000_000010.mp4,68
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/04vdECGx-8k_000238_000248.mp4,266
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/076ONYZBWDs_000000_000010.mp4,252
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-w94k14h8OA_000003_000013.mp4,224
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/041hsGi5TxU_000038_000048.mp4,165
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/01sVOoCZlBU_000003_000013.mp4,274
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-xtAJQQ5UiI_000155_000165.mp4,147
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/02Y60YYUqQk_000071_000081.mp4,40
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/083H_yQsGHY_000037_000047.mp4,24
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/00MUo_0F9-Q_000261_000271.mp4,109
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-yi2s4DW6MA_000014_000024.mp4,75
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/049Q-4zbw88_000024_000034.mp4,385
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-vwrrkSglhs_000348_000358.mp4,80
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/00dF_UdPwj0_000001_000011.mp4,223
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/03RtdaY4GY4_000003_000013.mp4,323
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/06EGhTzyd68_000047_000057.mp4,388
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/01bjsMdVvm0_000026_000036.mp4,347
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-v6FmvDPYDk_000350_000360.mp4,225
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/02FGojxxyrQ_000031_000041.mp4,168
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-wFX9I05j38_000012_000022.mp4,59
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/0Bfx__DqtOY_000025_000035.mp4,399
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-uj7PFp3Wtg_000026_000036.mp4,356
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/02gnQiTuN28_000053_000063.mp4,331
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-uvbGct_e_U_000001_000011.mp4,260
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/02bfGyFuidk_000127_000137.mp4,285
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/097LqDSfvlA_000001_000011.mp4,138
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-vf1xUy5foc_000249_000259.mp4,80
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/075OvNUleS8_000075_000085.mp4,243
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-yPZe1_QOGY_000024_000034.mp4,306
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/0A6a_oKa8mc_000139_000149.mp4,47
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/07JFxr9qwVc_000012_000022.mp4,124
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/00Wq2ULInyY_000002_000012.mp4,99
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/06EsQkYyYoY_000012_000022.mp4,313
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/02XLg-GPZaU_000012_000022.mp4,389
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-yf7-CgpyAE_000012_000022.mp4,86
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-yA7IX3Au5w_000001_000011.mp4,307
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/030KGXn4hy4_000025_000035.mp4,112
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-yZq1Sg4bDk_000003_000013.mp4,187
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-xmRv0lqC28_000052_000062.mp4,172
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-wUqhS0KNp0_000000_000010.mp4,296
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/08uE9wdVYtA_002334_002344.mp4,346
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-y5tO9tDrT4_000014_000024.mp4,359
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/04vt8YfT7XM_000333_000343.mp4,29
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-xUJmgXYHzc_000009_000019.mp4,109
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-zkwKkmcHwY_000001_000011.mp4,150
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/0AqjFxIXFSA_000040_000050.mp4,27
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/05dnFrtUqDg_000087_000097.mp4,228
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-uwad_bs9tg_000334_000344.mp4,346
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-wkHTcwbeH0_000041_000051.mp4,77
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/06SM4ZN_maw_001390_001400.mp4,8
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-xoG4NiicYM_000320_000330.mp4,193
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/03fd3rnupoE_000018_000028.mp4,115
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/08laVNDrTS0_000003_000013.mp4,37
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-vAOikxwtSI_000006_000016.mp4,160
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/-vWpXbRi1XY_000000_000010.mp4,124
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_3/00Klr-1s1FY_000029_000039.mp4,340
